85	 Q0	AP890220-0143	1	36.301308828447496	 Exp
85	 Q0	AP890131-0031	2	35.366118988971344	 Exp
85	 Q0	AP890724-0073	3	34.62276534622547	 Exp
85	 Q0	AP890520-0007	4	33.46832921593483	 Exp
85	 Q0	AP890209-0040	5	32.71403970216276	 Exp
85	 Q0	AP891111-0095	6	32.61288989078906	 Exp
85	 Q0	AP891221-0133	7	32.22736770675832	 Exp
85	 Q0	AP890731-0042	8	31.985367752989486	 Exp
85	 Q0	AP890915-0075	9	31.38290926776328	 Exp
85	 Q0	AP890125-0095	10	31.04824727393634	 Exp
85	 Q0	AP890301-0215	11	30.5719690443779	 Exp
85	 Q0	AP890518-0050	12	30.300015639096923	 Exp
85	 Q0	AP890412-0196	13	30.248974316830157	 Exp
85	 Q0	AP890919-0212	14	29.88520519443071	 Exp
85	 Q0	AP890120-0071	15	29.880771054024702	 Exp
85	 Q0	AP891202-0142	16	29.841207734308423	 Exp
85	 Q0	AP890731-0055	17	29.721724283871623	 Exp
85	 Q0	AP890310-0224	18	29.648709834799718	 Exp
85	 Q0	AP890711-0160	19	29.181415734412695	 Exp
85	 Q0	AP891004-0078	20	29.111415606888407	 Exp
85	 Q0	AP890104-0031	21	29.086115507430705	 Exp
85	 Q0	AP890621-0127	22	28.684160153696155	 Exp
85	 Q0	AP890223-0032	23	28.56404648396103	 Exp
85	 Q0	AP891230-0081	24	28.51178210686355	 Exp
85	 Q0	AP890322-0259	25	28.192514628545368	 Exp
85	 Q0	AP890216-0050	26	28.118142023348565	 Exp
85	 Q0	AP890313-0224	27	27.81000406489158	 Exp
85	 Q0	AP890921-0085	28	27.672810985525093	 Exp
85	 Q0	AP890129-0035	29	27.652248645179075	 Exp
85	 Q0	AP890516-0104	30	27.49822009115245	 Exp
85	 Q0	AP890527-0048	31	27.44409988367825	 Exp
85	 Q0	AP890912-0198	32	27.268215074053384	 Exp
85	 Q0	AP890511-0074	33	27.257516388103436	 Exp
85	 Q0	AP890221-0207	34	26.885401569907753	 Exp
85	 Q0	AP891225-0110	35	26.818162119421874	 Exp
85	 Q0	AP890112-0180	36	26.509130241499943	 Exp
85	 Q0	AP890722-0045	37	26.44242768017079	 Exp
85	 Q0	AP890628-0156	38	26.343135312147936	 Exp
85	 Q0	AP890518-0156	39	26.3173588141607	 Exp
85	 Q0	AP890122-0062	40	26.228343598879846	 Exp
85	 Q0	AP890302-0026	41	26.172149499606643	 Exp
85	 Q0	AP890223-0103	42	26.119388097051527	 Exp
85	 Q0	AP890410-0081	43	26.112512524338932	 Exp
85	 Q0	AP890506-0088	44	25.96487956695731	 Exp
85	 Q0	AP891201-0028	45	25.95665904683024	 Exp
85	 Q0	AP890501-0055	46	25.839020679505403	 Exp
85	 Q0	AP891011-0206	47	25.82012445123554	 Exp
85	 Q0	AP890214-0122	48	25.804354606313293	 Exp
85	 Q0	AP890423-0064	49	25.77506210701811	 Exp
85	 Q0	AP891212-0162	50	25.719114373800558	 Exp
85	 Q0	AP890904-0081	51	25.699184734473796	 Exp
85	 Q0	AP890118-0229	52	25.68457442900283	 Exp
85	 Q0	AP891209-0064	53	25.6796680006194	 Exp
85	 Q0	AP890516-0072	54	25.670864452657472	 Exp
85	 Q0	AP891004-0145	55	25.63452545707615	 Exp
85	 Q0	AP890908-0120	56	25.62052673951425	 Exp
85	 Q0	AP891206-0127	57	25.590058002502374	 Exp
85	 Q0	AP890302-0132	58	25.588965155839528	 Exp
85	 Q0	AP891103-0101	59	25.34363579873528	 Exp
85	 Q0	AP891101-0036	60	25.29108590342576	 Exp
85	 Q0	AP890621-0078	61	25.243842946505964	 Exp
85	 Q0	AP890128-0118	62	25.206473672605405	 Exp
85	 Q0	AP890107-0129	63	25.178658721038797	 Exp
85	 Q0	AP891013-0120	64	25.17764648982479	 Exp
85	 Q0	AP890829-0135	65	25.163781914666945	 Exp
85	 Q0	AP891213-0271	66	25.162503012225923	 Exp
